gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,tier,z_track_b,p_track_b,q_track_b,p_combined
S100A14,715,107,40.970985412597656,0.027379436,0.5374403945434573,0.2954817235278283,0.7783209177998507,3978,0,2,0.0017639787,9348,3978,0.00047058242,-0.00036163093,0.047313627,Background,0.5374403945434573,0.2954817235278283,0.7783209177998507,0.2954817235278283
KCTD9,703,392,43.17906188964844,0.027236214,0.5372796757821945,0.2955372211166629,0.7783209177998507,3979,0,2,0.002021357,7272,3979,0.0011602682,-5.3257412e-05,0.046067495,Background,0.5372796757821945,0.2955372211166629,0.7783209177998507,0.2955372211166629
CNMD,707,358,40.30391311645508,0.027281266,0.5372231831412615,0.2955567296562679,0.7783209177998507,3980,0,2,0.0022591003,4851,3980,0.0022646438,-0.00020092691,0.045188814,Background,0.5372231831412615,0.2955567296562679,0.7783209177998507,0.2955567296562679
UMPS,707,551,41.849552154541016,0.027275048,0.5370011482610466,0.2956334104457309,0.7783209177998507,3981,0,2,0.0017174379,9547,3981,0.00037713093,-0.0005828647,0.047447506,Background,0.5370011482610466,0.2956334104457309,0.7783209177998507,0.2956334104457309
COX16,718,112,37.98406219482422,0.02740055,0.5369748217752808,0.2956425030277151,0.7783209177998507,3982,1,3,0.002659164,3481,3982,0.0012145832,0.00052621175,0.04571835,Background,0.5369748217752808,0.2956425030277151,0.7783209177998507,0.2956425030277151
KLHL38,714,597,42.19319152832031,0.027345115,0.5366221768228223,0.2957643111330174,0.7783209177998507,3983,1,3,0.0025072016,3700,3983,0.0027574883,0.000100785575,0.04450485,Background,0.5366221768228223,0.2957643111330174,0.7783209177998507,0.2957643111330174
DPYSL5,720,569,36.261962890625,0.027412547,0.5365941489674592,0.2957739933040521,0.7783209177998507,3984,0,2,0.002249689,4926,3984,0.0021997206,-0.0013606683,0.04664088,Background,0.5365941489674592,0.2957739933040521,0.7783209177998507,0.2957739933040521
FBXL4,714,621,41.65439987182617,0.027344028,0.5365833294803732,0.29577773091490267,0.7783209177998507,3985,1,3,0.0027456647,3194,3985,0.0021212117,0.00033251557,0.044907518,Background,0.5365833294803732,0.29577773091490267,0.7783209177998507,0.29577773091490267
MAVS,705,670,40.05320739746094,0.027239582,0.5365657275066585,0.29578381159405914,0.7783209177998507,3986,0,2,0.002025431,7234,3986,0.0011717686,-0.001272588,0.047281165,Background,0.5365657275066585,0.29578381159405914,0.7783209177998507,0.29578381159405914
IMMP2L,680,177,41.99864959716797,0.026937941,0.5364899255561338,0.29580999836709,0.7783209177998507,3987,0,2,0.0015046103,10495,3987,-0.0005280152,2.7636188e-05,0.047158264,Background,0.5364899255561338,0.29580999836709,0.7783209177998507,0.29580999836709
HOXA9,717,288,39.36175537109375,0.027374003,0.5364317367072531,0.2958301011868424,0.7783209177998507,3988,0,2,0.0023021037,4535,3988,0.002548497,-0.0009815276,0.0458462,Background,0.5364317367072531,0.2958301011868424,0.7783209177998507,0.2958301011868424
DNAJB2,719,291,42.66790008544922,0.027393065,0.5363019272808999,0.2958749494203401,0.7783209177998507,3989,0,2,0.0022006615,5378,3989,0.0019215792,-0.0012173352,0.046741933,Background,0.5363019272808999,0.2958749494203401,0.7783209177998507,0.2958749494203401
OR2Z1,391,336,44.86064147949219,0.021595748,0.5363010800264988,0.29587524215096594,0.7783209177998507,3990,0,2,0.0014807257,12817,3990,-1.8706743e-09,4.659972e-09,0.037404925,Background,0.5363010800264988,0.29587524215096594,0.7783209177998507,0.29587524215096594
SLC23A1,721,631,41.29639434814453,0.027414367,0.5362555558815776,0.2958909711659107,0.7783209177998507,3991,0,2,0.0019408449,8036,3991,0.00090484694,-0.0006331564,0.047211386,Background,0.5362555558815776,0.2958909711659107,0.7783209177998507,0.2958909711659107
ELAC1,719,370,42.27513122558594,0.02738968,0.5361808826734042,0.29591677228447255,0.7783209177998507,3992,0,2,0.0019662709,7806,3992,0.0009805476,-0.00057078514,0.047030557,Background,0.5361808826734042,0.29591677228447255,0.7783209177998507,0.29591677228447255
SPARCL1,709,731,40.9525146484375,0.027274812,0.5361651305212881,0.295922215106702,0.7783209177998507,3993,0,1,0.0014849777,11259,3993,-0.0008670355,-0.0003170611,0.04842545,Background,0.5361651305212881,0.295922215106702,0.7783209177998507,0.295922215106702
STMN1,723,151,40.74675750732422,0.027427861,0.5359331827325479,0.29600236506941524,0.7783209177998507,3994,0,2,0.0020418444,7055,3994,0.0012276325,-0.0018543676,0.048133183,Background,0.5359331827325479,0.29600236506941524,0.7783209177998507,0.29600236506941524
GLYATL1B,100,308,42.617462158203125,2.3654685e-09,0.5358584880517278,0.2960281780677327,0.7783209177998507,3995,0,1,0.0010000005,16442,3995,-4.6869486e-10,-4.6439225e-10,1.3969839e-09,Background,0.5358584880517278,0.2960281780677327,0.7783209177998507,0.2960281780677327
CYP3A43,100,506,42.69158172607422,1.0186579e-09,0.5358584505006826,0.296028191044888,0.7783209177998507,3996,0,1,0.001,16716,3996,-4.6869775e-10,1.2702264e-12,0.0,Background,0.5358584505006826,0.296028191044888,0.7783209177998507,0.296028191044888
SSU72L4,100,196,40.872283935546875,9.623241e-10,0.535858448930014,0.2960281915876908,0.7783209177998507,3997,0,1,0.0010000003,16557,3997,-1.400025e-09,-4.6438914e-10,9.313226e-10,Background,0.535858448930014,0.2960281915876908,0.7783209177998507,0.2960281915876908
ATP9A,614,1062,42.09935760498047,0.026040735,0.535771415907717,0.2960582697757218,0.7783209177998507,3998,1,3,0.0061986283,635,3998,0.0015636962,0.0159757,0.027564477,Background,0.535771415907717,0.2960582697757218,0.7783209177998507,0.2960582697757218
FABP3,717,144,27.71479034423828,0.027355082,0.5357552968955822,0.2960638405816425,0.7783209177998507,3999,1,3,0.0024231032,3941,3999,0.0013901726,0.00025265256,0.045737565,Background,0.5357552968955822,0.2960638405816425,0.7783209177998507,0.2960638405816425
SPATS2L,706,580,41.81903839111328,0.027224947,0.5356272991584895,0.2961080789054429,0.7783209177998507,4000,0,2,0.0017929,9189,4000,-0.00088922936,0.0005322069,0.04751201,Background,0.5356272991584895,0.2961080789054429,0.7783209177998507,0.2961080789054429
CCT8,716,555,41.72200012207031,0.027339412,0.5356020841156822,0.2961167940360998,0.7783209177998507,4001,0,2,0.0022525277,4905,4001,0.0022229508,-0.00024642528,0.045376725,Background,0.5356020841156822,0.2961167940360998,0.7783209177998507,0.2961167940360998
PDK2,718,356,41.51277160644531,0.027361743,0.5355872800729832,0.29612191084474826,0.7783209177998507,4002,0,2,0.0017248767,9515,4002,0.00039120746,-0.0008875667,0.047888294,Background,0.5355872800729832,0.29612191084474826,0.7783209177998507,0.29612191084474826
PDCD4,721,481,42.69153594970703,0.027393738,0.5355177089954317,0.29614595765019336,0.7783209177998507,4003,0,2,0.0019682932,7775,4003,0.0009859556,-0.0010182969,0.047479685,Background,0.5355177089954317,0.29614595765019336,0.7783209177998507,0.29614595765019336
NHP2,706,157,41.99909210205078,0.027221367,0.5354994783711711,0.2961522590989701,0.7783209177998507,4004,0,2,0.0025511133,3635,4004,0.0055342987,-0.0010181456,0.042632636,Background,0.5354994783711711,0.2961522590989701,0.7783209177998507,0.2961522590989701
CNPY3,703,318,40.12892150878906,0.027186004,0.5354876181210547,0.29615635864924683,0.7783209177998507,4005,0,2,0.0021959792,5422,4005,0.0019000117,-0.0007452648,0.045932807,Background,0.5354876181210547,0.29615635864924683,0.7783209177998507,0.29615635864924683
NKX2-2,699,285,29.374134063720703,0.027130686,0.5351929550812007,0.2962582186489652,0.7783209177998507,4006,0,2,0.0022247045,5142,4006,0.0020586932,-0.00045608473,0.045389123,Background,0.5351929550812007,0.2962582186489652,0.7783209177998507,0.2962582186489652
ODC1,705,478,41.75740051269531,0.02720067,0.5351765751333741,0.29626388138964244,0.7783209177998507,4007,0,2,0.0022767452,4701,4007,0.0023774833,-0.00057768263,0.045313142,Background,0.5351765751333741,0.29626388138964244,0.7783209177998507,0.29626388138964244
RPS21,689,83,29.748708724975582,0.027008615,0.5350993229436456,0.29629058904964506,0.7783209177998507,4008,0,2,0.0027471397,3180,4008,0.014879041,-0.0014998999,0.03340115,Background,0.5350993229436456,0.29629058904964506,0.7783209177998507,0.29629058904964506
POLD3,698,498,41.258846282958984,0.027116144,0.5350961724368941,0.29629167826761543,0.7783209177998507,4009,1,3,0.0022953218,4595,4009,0.0021135006,3.734659e-05,0.044815693,Background,0.5350961724368941,0.29629167826761543,0.7783209177998507,0.29629167826761543
RGS2,711,215,41.979942321777344,0.027261637,0.5348699587272197,0.29636989144917814,0.7783209177998507,4010,0,2,0.0023979966,4048,4010,0.003370938,-7.495016e-05,0.04392255,Background,0.5348699587272197,0.29636989144917814,0.7783209177998507,0.29636989144917814
RPL28,702,137,30.7614688873291,0.027154824,0.5347933933433152,0.29639636600391583,0.7783209177998507,4011,0,2,0.002365629,4182,4011,0.003060616,-0.0007021824,0.044675097,Background,0.5347933933433152,0.29639636600391583,0.7783209177998507,0.29639636600391583
NDP,715,133,41.4350471496582,0.027303189,0.5347151484031818,0.2964234224306964,0.7783209177998507,4012,1,3,0.002504789,3711,4012,0.0022254407,0.00015488255,0.044910185,Background,0.5347151484031818,0.2964234224306964,0.7783209177998507,0.2964234224306964
UPK1B,718,285,38.89717483520508,0.027337259,0.5347118562824542,0.29642456084252367,0.7783209177998507,4013,0,2,0.0016847452,9697,4013,0.00031586515,-0.00020905747,0.047242716,Background,0.5347118562824542,0.29642456084252367,0.7783209177998507,0.29642456084252367
IL23A,724,197,37.831817626953125,0.027400777,0.53456272170328,0.29647613352201097,0.7783209177998507,4014,0,2,0.00221899,5201,4014,0.0020191537,-0.0017572409,0.04719763,Background,0.53456272170328,0.29647613352201097,0.7783209177998507,0.29647613352201097
RGS8,718,180,41.51227188110352,0.02733222,0.5345316871728123,0.2964868661836371,0.7783209177998507,4015,0,2,0.0019277594,8166,4015,0.000867283,-0.0008976677,0.047371175,Background,0.5345316871728123,0.2964868661836371,0.7783209177998507,0.2964868661836371
HSD17B14,554,272,40.21927261352539,0.025075344,0.5345258136206286,0.29648889745232476,0.7783209177998507,4016,0,2,0.0017949754,9174,4016,0.00054089306,-0.0008359384,0.043726813,Background,0.5345258136206286,0.29648889745232476,0.7783209177998507,0.29648889745232476
MOSPD3,704,253,42.075401306152344,0.027167417,0.5344064421112594,0.2965301814517978,0.7783209177998507,4017,0,2,0.0022278265,5110,4017,0.0020749741,-0.0007529126,0.045733288,Background,0.5344064421112594,0.2965301814517978,0.7783209177998507,0.2965301814517978
CALCOCO1,706,702,41.023040771484375,0.027186595,0.5342579743441779,0.2965815319115561,0.7783209177998507,4018,0,2,0.0020430307,7032,4018,0.0012363541,-0.0002054711,0.046057682,Background,0.5342579743441779,0.2965815319115561,0.7783209177998507,0.2965815319115561
RPS19BP1,700,139,36.224456787109375,0.027115418,0.5342270959310991,0.2965922123219319,0.7783209177998507,4019,1,3,0.0031005593,1413,4019,0.0023967044,0.0005361971,0.044032384,Background,0.5342270959310991,0.2965922123219319,0.7783209177998507,0.2965922123219319
HIF1AN,721,358,41.00871658325195,0.027349725,0.5339434758770087,0.2966903207644148,0.7783209177998507,4020,0,1,0.0014852077,11207,4020,-0.0004558568,-0.0013750349,0.04920201,Background,0.5339434758770087,0.2966903207644148,0.7783209177998507,0.2966903207644148
KPNA1,718,538,41.54677963256836,0.027314696,0.533905117719078,0.29670359056894036,0.7783209177998507,4021,1,3,0.0025772164,3600,4021,0.00074430177,0.0007562709,0.04580987,Background,0.533905117719078,0.29670359056894036,0.7783209177998507,0.29670359056894036
ERCC5,655,1457,41.71450424194336,0.026543831,0.5337369499190822,0.29676177054888203,0.7783209177998507,4022,1,3,0.0021058647,6326,4022,0.000740896,0.00020707352,0.045027286,Background,0.5337369499190822,0.29676177054888203,0.7783209177998507,0.29676177054888203
ROMO1,720,79,24.17397689819336,0.027327832,0.5335644617945939,0.29682145063020426,0.7783209177998507,4023,0,2,0.0019346639,8092,4023,0.0008873675,-0.0005881151,0.047033943,Background,0.5335644617945939,0.29682145063020426,0.7783209177998507,0.29682145063020426
TSTD2,721,522,41.78670883178711,0.027338598,0.5335454913745051,0.296828014641794,0.7783209177998507,4024,1,3,0.0026919446,3400,4024,0.0024410682,0.00024699257,0.04466378,Background,0.5335454913745051,0.296828014641794,0.7783209177998507,0.296828014641794
DUSP1,707,454,37.11953353881836,0.027175784,0.5334565888609738,0.29685877695065954,0.7783209177998507,4025,0,2,0.0022168015,5223,4025,0.0020079578,-0.0019002645,0.046962146,Background,0.5334565888609738,0.29685877695065954,0.7783209177998507,0.29685877695065954
GNL2,717,822,43.98362350463867,0.027289456,0.5334091186237834,0.29687520333907125,0.7783209177998507,4026,0,2,0.0022590067,4852,4026,0.002264599,-7.855741e-05,0.04508068,Background,0.5334091186237834,0.29687520333907125,0.7783209177998507,0.29687520333907125
MIEF1,717,466,41.74716567993164,0.027288923,0.5333900634776695,0.29688179721353963,0.7783209177998507,4027,0,2,0.0022854481,4651,4027,0.0024374812,-0.00016528089,0.0449936,Background,0.5333900634776695,0.29688179721353963,0.7783209177998507,0.29688179721353963
PI16,645,777,39.95466613769531,0.026396606,0.5331915571181057,0.29695049266986756,0.7783209177998507,4028,1,3,0.004400192,1028,4028,0.000684788,0.018039387,0.02699609,Background,0.5331915571181057,0.29695049266986756,0.7783209177998507,0.29695049266986756
SLC1A3,708,546,42.122093200683594,0.0271798,0.5331854039927226,0.2969526221473453,0.7783209177998507,4029,0,2,0.002068771,6735,4029,0.0013265103,-0.0024912702,0.04824156,Background,0.5331854039927226,0.2969526221473453,0.7783209177998507,0.2969526221473453
CACNA1S,594,1896,41.619815826416016,0.025668232,0.5330182120503563,0.2970104867129951,0.7783209177998507,4030,0,2,0.00283702,2686,4030,-0.027963277,0.045654714,0.02676724,Background,0.5330182120503563,0.2970104867129951,0.7783209177998507,0.2970104867129951
DDX52,706,612,41.79690933227539,0.027149353,0.532928281114761,0.29704161363858567,0.7783209177998507,4031,0,2,0.0019566137,7904,4031,0.0009528295,-0.00013463676,0.04620587,Background,0.532928281114761,0.29704161363858567,0.7783209177998507,0.29704161363858567
MAD2L2,711,211,41.98104095458984,0.027205437,0.5328621891626707,0.29706449035829174,0.7783209177998507,4032,0,2,0.0022159263,5234,4032,0.0020095434,-0.0002720924,0.04538375,Background,0.5328621891626707,0.29706449035829174,0.7783209177998507,0.29706449035829174
DOLPP1,718,280,41.63304901123047,0.027281143,0.5327054324371137,0.29711875252597664,0.7783209177998507,4033,1,3,0.0026930799,3397,4033,0.0029535752,0.00019209275,0.044106655,Background,0.5327054324371137,0.29711875252597664,0.7783209177998507,0.29711875252597664
TNFSF8,714,237,41.58521270751953,0.027235014,0.532687373464047,0.2971250040258956,0.7783209177998507,4034,0,2,0.0026771605,3443,4034,0.009285404,-0.003911796,0.041798815,Background,0.532687373464047,0.2971250040258956,0.7783209177998507,0.2971250040258956
STX1A,717,299,39.580440521240234,0.027267946,0.5326401201380248,0.29714136206028513,0.7783209177998507,4035,0,2,0.0017266064,9509,4035,0.00039432803,-0.00137485,0.04820999,Background,0.5326401201380248,0.29714136206028513,0.7783209177998507,0.29714136206028513
SKA1,702,260,42.61817932128906,0.027093729,0.5326130997323811,0.2971507160995701,0.7783209177998507,4036,1,3,0.0033545252,1302,4036,0.0023179844,0.000752438,0.043857295,Background,0.5326130997323811,0.2971507160995701,0.7783209177998507,0.2971507160995701
ERBB3,690,1358,42.05674362182617,0.026950251,0.5325897445925343,0.2971588013899733,0.7783209177998507,4037,0,2,0.001822293,9003,4037,0.0005995475,-0.000312136,0.0463918,Background,0.5325897445925343,0.2971588013899733,0.7783209177998507,0.2971588013899733
PFN4,714,130,41.348846435546875,0.02723001,0.5325085398839041,0.2971869143422623,0.7783209177998507,4038,0,2,0.0025754257,3603,4038,0.0060551134,-0.0011536543,0.0422623,Background,0.5325085398839041,0.2971869143422623,0.7783209177998507,0.2971869143422623
PALS2,722,575,41.31343078613281,0.027315004,0.5322982435910751,0.2972597242640529,0.7783209177998507,4039,0,1,0.0014849757,11260,4039,-0.00012855849,-0.0009792182,0.048418753,Background,0.5322982435910751,0.2972597242640529,0.7783209177998507,0.2972597242640529
TMEM68,720,261,42.003684997558594,0.027287893,0.532136111726754,0.29731586400100407,0.7783209177998507,4040,0,2,0.0020395175,7085,4040,0.0012227178,-0.000495062,0.04653637,Background,0.532136111726754,0.29731586400100407,0.7783209177998507,0.29731586400100407
DICER1,647,1941,42.37369537353515,0.026389915,0.5320113247919964,0.2973590759911542,0.7783209177998507,4041,0,2,0.0028369813,2687,4041,-0.033236418,0.05461716,0.02432793,Background,0.5320113247919964,0.2973590759911542,0.7783209177998507,0.2973590759911542
OGFOD2,717,355,28.604829788208008,0.02724884,0.531957066438866,0.2973778658035635,0.7783209177998507,4042,0,2,0.0020559477,6897,4042,0.0012818985,-0.00081902696,0.046733506,Background,0.531957066438866,0.2973778658035635,0.7783209177998507,0.2973778658035635
SDC4,713,213,31.46417236328125,0.02720272,0.5319431051514756,0.2973827007223557,0.7783209177998507,4043,0,2,0.002348396,4264,4043,0.0029050263,-0.0015449278,0.045756396,Background,0.5319431051514756,0.2973827007223557,0.7783209177998507,0.2973827007223557
PRPF39,720,678,41.72138977050781,0.027280662,0.5318775073715987,0.2974054183013937,0.7783209177998507,4044,0,2,0.0021445132,5883,4044,0.0016463519,-0.00092297327,0.04652812,Background,0.5318775073715987,0.2974054183013937,0.7783209177998507,0.2974054183013937
TTBK1,662,1419,42.1982307434082,0.026575005,0.5316304876656875,0.29749097235845545,0.7783209177998507,4045,0,2,0.002851202,2524,4045,-0.039025623,0.057578497,0.027476383,Background,0.5316304876656875,0.29749097235845545,0.7783209177998507,0.29749097235845545
FIGLA,703,233,40.44950866699219,0.027071482,0.5314001847916572,0.29757074674442785,0.7783209177998507,4046,0,2,0.0017255526,9510,4046,-0.0011345972,0.00039273722,0.047631048,Background,0.5314001847916572,0.29757074674442785,0.7783209177998507,0.29757074674442785
POLG2,709,512,41.85486602783203,0.027141027,0.5313867399078958,0.2975754042061507,0.7783209177998507,4047,0,1,0.0014845778,11367,4047,-4.2796717e-05,-7.8206765e-05,0.047130637,Background,0.5313867399078958,0.2975754042061507,0.7783209177998507,0.2975754042061507
SERPINA7,577,420,41.20663833618164,0.025347538,0.5309674920372375,0.29772065316373864,0.7783209177998507,4048,1,3,0.0046530445,972,4048,0.005901987,0.0011121086,0.036889132,Background,0.5309674920372375,0.29772065316373864,0.7783209177998507,0.29772065316373864
PKIG,724,77,40.385955810546875,0.027300222,0.5309648725672533,0.2977215607841151,0.7783209177998507,4049,0,2,0.0020170056,7312,4049,-0.0006272313,0.0011439939,0.046768602,Background,0.5309648725672533,0.2977215607841151,0.7783209177998507,0.2977215607841151
TAL2,728,111,38.375587463378906,0.027344868,0.5309626990536165,0.29772231388599735,0.7783209177998507,4050,0,1,0.0014859994,11055,4050,-0.0041610454,-0.0005452228,0.05206897,Background,0.5309626990536165,0.29772231388599735,0.7783209177998507,0.29772231388599735
CALHM2,720,326,41.8277587890625,0.027255021,0.5309605008343923,0.29772307554901556,0.7783209177998507,4051,0,2,0.0023568417,4233,4051,0.0029846127,-0.00038858876,0.04461105,Background,0.5309605008343923,0.29772307554901556,0.7783209177998507,0.29772307554901556
IVNS1ABP,720,673,42.24185943603515,0.027254973,0.5309587841964379,0.29772367034911096,0.7783209177998507,4052,0,2,0.0021582113,5754,4052,0.0017098001,-0.0011010839,0.04659828,Background,0.5309587841964379,0.29772367034911096,0.7783209177998507,0.29772367034911096
RASGEF1B,687,610,40.09539794921875,0.026867026,0.53091783500221,0.29773785904886146,0.7783209177998507,4053,0,2,0.0021168373,6203,4053,0.001525797,-0.0009523126,0.045961566,Background,0.53091783500221,0.29773785904886146,0.7783209177998507,0.29773785904886146
TMEM138,717,164,41.80476760864258,0.027215898,0.5307793654570966,0.29778584036838707,0.7783209177998507,4054,0,2,0.0021254248,6109,4054,0.0015618613,-0.0007231736,0.046300635,Background,0.5307793654570966,0.29778584036838707,0.7783209177998507,0.29778584036838707
ETFB,718,262,36.410301208496094,0.027225155,0.5307035852232542,0.2978121006003247,0.7783209177998507,4055,1,3,0.0031703468,1377,4055,0.0034756947,0.00042807858,0.04325158,Background,0.5307035852232542,0.2978121006003247,0.7783209177998507,0.2978121006003247
PRLHR,711,382,41.75856018066406,0.027143344,0.5306438895973408,0.29783278775392985,0.7783209177998507,4056,0,1,0.0014851129,11228,4056,-0.001142584,-0.0007230081,0.04887924,Background,0.5306438895973408,0.29783278775392985,0.7783209177998507,0.29783278775392985
IFT70B,550,696,37.11288833618164,0.024895953,0.5306140439020346,0.29784313084259856,0.7783209177998507,4057,0,2,0.0028322362,2728,4057,-0.026136415,0.042778395,0.026479071,Background,0.5306140439020346,0.29784313084259856,0.7783209177998507,0.29784313084259856
ARHGAP9,651,796,43.729488372802734,0.02640134,0.5305415580972748,0.2978682516331338,0.7783209177998507,4058,1,3,0.0017947161,9175,4058,0.0005386417,3.9834303e-12,0.045189817,Background,0.5305415580972748,0.2978682516331338,0.7783209177998507,0.2978682516331338
LRP8,643,1047,41.755950927734375,0.026294883,0.5305358183749858,0.29787024084128255,0.7783209177998507,4059,1,3,0.004954172,908,4059,0.0009361231,0.017864544,0.026743405,Background,0.5305358183749858,0.29787024084128255,0.7783209177998507,0.29787024084128255
PRR3,702,178,42.73501968383789,0.027033446,0.5304617839168816,0.2978958994108625,0.7783209177998507,4060,1,3,0.0028005142,2900,4060,0.0035149155,0.00020909082,0.043099295,Background,0.5304617839168816,0.2978958994108625,0.7783209177998507,0.2978958994108625
SLC24A5,722,506,43.352840423583984,0.027254347,0.5301284446117325,0.29801143930971985,0.7783209177998507,4061,0,2,0.0023367393,4323,4061,0.0028113816,-0.0011859091,0.04558044,Background,0.5301284446117325,0.29801143930971985,0.7783209177998507,0.29801143930971985
LRRC10,719,290,34.68428421020508,0.027219122,0.5300818793749602,0.2980275810744547,0.7783209177998507,4062,0,2,0.0019837692,7628,4062,0.0010316814,-0.0027135029,0.048826724,Background,0.5300818793749602,0.2980275810744547,0.7783209177998507,0.2980275810744547
HOXB5,718,281,40.51873397827149,0.027205676,0.5300071148746301,0.29805349890215127,0.7783209177998507,4063,0,2,0.0019012423,8385,4063,0.00079599355,-2.0839507e-05,0.046346456,Background,0.5300071148746301,0.29805349890215127,0.7783209177998507,0.29805349890215127
OR52E2,306,346,40.50823211669922,0.018524807,0.529998469851474,0.29805649584819427,0.7783209177998507,4064,0,2,0.0017106764,9575,4064,0.047924947,0.00036378577,-0.016202824,Background,0.529998469851474,0.29805649584819427,0.7783209177998507,0.29805649584819427
TJAP1,717,599,41.75629806518555,0.027190348,0.5298659339688989,0.2981024434114756,0.7783209177998507,4065,0,2,0.0022172756,5220,4065,0.0020175087,-0.00019151717,0.04526908,Background,0.5298659339688989,0.2981024434114756,0.7783209177998507,0.2981024434114756
PSMB8,689,282,41.40886306762695,0.026861178,0.5298461191445121,0.29810931309560085,0.7783209177998507,4066,0,2,0.0021597738,5741,4066,0.0017186936,-0.0013401456,0.046146374,Background,0.5298461191445121,0.29810931309560085,0.7783209177998507,0.29810931309560085
LOC124903762,101,266,40.054786682128906,2.031186e-09,0.5298059924661519,0.29812322500202704,0.7783209177998507,4067,1,3,0.001000001,16176,4067,4.742731e-10,1.3933813e-09,9.313226e-10,Background,0.5298059924661519,0.29812322500202704,0.7783209177998507,0.29812322500202704
SELPLG,101,503,40.87337112426758,1.8785058e-09,0.5298059882017699,0.2981232264805026,0.7783209177998507,4068,0,2,0.0010000011,16161,4068,-9.343812e-10,1.8639246e-09,1.3969839e-09,Background,0.5298059882017699,0.2981232264805026,0.7783209177998507,0.2981232264805026
NINJ1,699,152,27.12286376953125,0.026978698,0.5297709409921555,0.2981353775787555,0.7783209177998507,4069,0,2,0.0022332056,5064,4069,0.002109229,-0.00038456125,0.04500381,Background,0.5297709409921555,0.2981353775787555,0.7783209177998507,0.2981353775787555
DRAM2,719,268,41.96418762207031,0.027209867,0.5297509287568297,0.2981423160536568,0.7783209177998507,4070,0,2,0.0024121772,3994,4070,0.0035107816,-0.00083935284,0.04445744,Background,0.5297509287568297,0.2981423160536568,0.7783209177998507,0.2981423160536568
RLBP1,715,328,44.08885192871094,0.027161818,0.529662218162033,0.298173073935055,0.7783209177998507,4071,0,2,0.00233316,4348,4071,0.002789126,-0.00041232014,0.044668846,Background,0.529662218162033,0.298173073935055,0.7783209177998507,0.298173073935055
UBE2U,651,372,43.23295974731445,0.026373966,0.5295709943460963,0.2982047047118045,0.7783209177998507,4072,0,2,0.002841106,2643,4072,-0.035059012,0.055603154,0.025136903,Background,0.5295709943460963,0.2982047047118045,0.7783209177998507,0.2982047047118045
TAC4,673,129,40.66983795166016,0.026653556,0.529465616433764,0.29824124515581835,0.7783209177998507,4073,1,3,0.0059830034,675,4073,0.003752423,0.0027536582,0.039659236,Background,0.529465616433764,0.29824124515581835,0.7783209177998507,0.29824124515581835
CSNK2B,708,233,35.734622955322266,0.027073326,0.5293829324020247,0.2982699177836109,0.7783209177998507,4074,0,1,0.001486088,11035,4074,-0.0005061347,-0.0050117257,0.052410234,Background,0.5293829324020247,0.2982699177836109,0.7783209177998507,0.2982699177836109
TSGA10,644,714,43.95665740966797,0.026266856,0.5290685613780365,0.29837894476765897,0.7783209177998507,4075,0,2,0.002834989,2698,4075,-0.032266002,0.0537174,0.02404413,Background,0.5290685613780365,0.29837894476765897,0.7783209177998507,0.29837894476765897
KXD1,709,196,30.08052444458008,0.027073994,0.5289925263713443,0.2984053171847566,0.7783209177998507,4076,0,1,0.0014848193,11300,4076,-0.0005365877,-0.0004747552,0.04790487,Background,0.5289925263713443,0.2984053171847566,0.7783209177998507,0.2984053171847566
AFAP1L2,649,861,42.050933837890625,0.026330123,0.5289525929084627,0.29841916836054416,0.7783209177998507,4077,0,2,0.0027291663,3267,4077,0.013319954,-0.00072348095,0.033008635,Background,0.5289525929084627,0.29841916836054416,0.7783209177998507,0.29841916836054416
RAB3D,707,233,29.87942123413086,0.027048647,0.528916729007985,0.2984316082320835,0.7783209177998507,4078,0,2,0.0023016538,4540,4078,0.0025476012,-0.0011445016,0.04544653,Background,0.528916729007985,0.2984316082320835,0.7783209177998507,0.2984316082320835
KLRB1,444,236,42.13427734375,0.022735689,0.528787784634946,0.2984763362545552,0.7783209177998507,4079,0,1,0.0014879218,10807,4079,-0.007889779,-0.013325648,0.060594805,Background,0.528787784634946,0.2984763362545552,0.7783209177998507,0.2984763362545552
NFYB,720,228,41.86504364013672,0.027191164,0.5286767643792467,0.29851484923064553,0.7783209177998507,4080,0,2,0.0021676575,5666,4080,0.0017582655,-0.0003124508,0.04565066,Background,0.5286767643792467,0.29851484923064553,0.7783209177998507,0.29851484923064553
GBP6,154,653,41.642860412597656,0.008235315,0.5285748505248405,0.2985502051820991,0.7783209177998507,4081,0,1,0.0014524232,15609,4081,-9.2723007e-10,0.014263976,0.0,Background,0.5285748505248405,0.2985502051820991,0.7783209177998507,0.2985502051820991
H2AZ1,698,128,19.69980239868164,0.026933195,0.5285704513019334,0.2985517314032685,0.7783209177998507,4082,0,2,0.002340923,4301,4082,0.0028318348,-0.0037863655,0.047604196,Background,0.5285704513019334,0.2985517314032685,0.7783209177998507,0.2985517314032685
TREM1,584,278,37.20529556274414,0.025388652,0.5285688869488357,0.2985522741247054,0.7783209177998507,4083,1,3,0.004036871,1104,4083,0.003039964,0.0011226004,0.039811872,Background,0.5285688869488357,0.2985522741247054,0.7783209177998507,0.2985522741247054
