gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,delta_clade_6,tier,z_track_b,p_track_b,q_track_b,p_combined
PDZRN4,581,1114,42.25223159790039,0.0005954127,0.19051450828225233,0.4244529877098153,0.6868932456375141,1879,0,1,0.0011744604510635,2880,1879,-0.0004116036579944,-1.875680823104631e-06,0.0081971902400255,-4.444085061550141e-05,-0.0007060375064611,-0.0001378562301397,Background,0.19051450828225233,0.4244529877098153,0.6868932456375141,0.4244529877098153
GLB1L2,620,667,41.142425537109375,0.00059073226,0.19049897112306383,0.42445907467469446,0.6868932456375141,1880,0,2,0.0011639201400652,3221,1880,-0.0002519842237234,-5.4601579904556274e-05,0.0002539791166782,-7.839687168598175e-05,-0.0001393733546137,0.0017969571053981,Background,0.19049897112306383,0.42445907467469446,0.6868932456375141,0.42445907467469446
MINDY2,645,682,41.435523986816406,0.00058792374,0.1904829264321148,0.42446536049328615,0.6868932456375141,1881,0,2,0.0011794674598532,2518,1881,-0.0003080042079091,0.0019227042794227,0.0003424752503633,-0.0001367256045341,0.0,-0.0003343038260936,Background,0.1904829264321148,0.42446536049328615,0.6868932456375141,0.42446536049328615
SH3BP4,685,1005,41.70024871826172,0.00058382866,0.19047401198891725,0.42446885290745406,0.6868932456375141,1882,0,2,0.0011765612611043,2778,1882,-0.0004738605348393,-8.467398583889008e-05,0.0003641452640295,-2.8293579816818237e-05,-7.352326065301895e-05,0.0017281615873798,Background,0.19047401198891725,0.42446885290745406,0.6868932456375141,0.42446885290745406
RC3H2,689,1203,41.58599090576172,0.0005818717,0.19015972693582678,0.4245919842478679,0.6868932456375141,1883,0,2,0.0011316449817399,3991,1883,-0.0003478955477476,-6.448477506637573e-05,0.0021799243986606,-8.27983021736145e-05,1.2613834769581445e-05,-0.0002254974097013,Background,0.19015972693582678,0.4245919842478679,0.6868932456375141,0.4245919842478679
HEATR6,679,1207,43.78511428833008,0.0005818858,0.18996850451993783,0.4246669054192787,0.6868932456375141,1884,0,4,0.001151861274176,3522,1884,-0.0002834685146808,4.9411028157919645e-06,0.000235291197896,-0.0001109670847654,4.9411028157919645e-06,0.0014433837495744,Background,0.18996850451993783,0.4246669054192787,0.6868932456375141,0.4246669054192787
CMSS1,692,283,39.25879669189453,0.00058011495,0.1898657678750805,0.42470715888378824,0.6868932456375141,1885,0,3,0.0011593444659073,3344,1885,-0.0001052357256412,-0.0001273322850465,0.0001417621970176,6.918609142303467e-05,-0.0001988373696804,0.0017456803470849,Background,0.1898657678750805,0.42470715888378824,0.6868932456375141,0.42470715888378824
LTBP1,607,1774,41.37114334106445,0.000588478,0.18975114521527742,0.42475207035992946,0.6868932456375141,1886,0,3,0.0012096856180213,1772,1886,-0.0003931404789909,0.0001289462670683,0.0105465538799762,-0.0030707619152963,-0.0001484341919422,1.257752228411846e-05,Background,0.18975114521527742,0.42475207035992946,0.6868932456375141,0.42475207035992946
MRAP,391,118,38.812313079833984,0.00062208786,0.18954243618052952,0.4248338492887201,0.6868932456375141,1887,0,2,0.0014068974905234,653,1887,-0.0030183265917003,0.0041842167265713,0.0129256630316376,0.0,-0.0033013217616826,0.0,Background,0.18954243618052952,0.4248338492887201,0.6868932456375141,0.4248338492887201
LENG8,674,821,41.779014587402344,0.0005794045,0.1893736078660497,0.42490000403263495,0.6868932456375141,1888,0,3,0.0012174011410136,1676,1888,-0.0003816345706582,0.0011249659582972,0.0002309456467628,0.0005490612238645,-3.589966945583001e-05,-0.0001231580972671,Background,0.1893736078660497,0.42490000403263495,0.6868932456375141,0.42490000403263495
ETNK2,636,394,41.57483673095703,0.00058310886,0.1893272230030194,0.42491818013828275,0.6868932456375141,1889,0,3,0.0012415186559057,1424,1889,-0.0004319436848163,0.0003830939531326,0.000402808189392,-0.0002285316586494,-0.0001852419227361,0.0015194099396467,Background,0.1893272230030194,0.42491818013828275,0.6868932456375141,0.42491818013828275
AMDHD2,692,441,37.1143798828125,0.0005766344,0.1891696578750805,0.424979923894914,0.6868932456375141,1890,0,3,0.0011491668764083,3595,1890,-0.0004251115024089,7.121451199054718e-05,5.3120777010917664e-05,-0.0001399479806423,-9.492877870798112e-05,0.0019577462226152,Background,0.1891696578750805,0.424979923894914,0.6868932456375141,0.424979923894914
OR11H2,179,327,43.32404327392578,0.00093215663,0.1891488639631021,0.4249880723724492,0.6868932456375141,1891,0,2,0.0013023926938125,1049,1891,-0.0020135401282459,0.0,-0.0026412908919155,0.0063517233356833,0.0,0.0011236701393499,Background,0.1891488639631021,0.4249880723724492,0.6868932456375141,0.4249880723724492
KLHL28,718,571,41.63349533081055,0.0005736575,0.18905650129908352,0.4250242667714125,0.6868932456375141,1892,0,2,0.0011414820703039,3762,1892,-0.000191637314856,-3.0312008675537072e-05,0.0001424783840775,-6.92419707775116e-05,-2.812526327033993e-05,0.001624435884878,Background,0.18905650129908352,0.4250242667714125,0.6868932456375141,0.4250242667714125
DPEP2,616,569,39.61637115478515,0.0005838964,0.18904142451170947,0.4250301750115655,0.6868932456375141,1893,0,3,0.0014391035033424,510,1893,-0.0015430264174938,0.0037693176418542,0.000333484262228,-4.834681749343872e-05,0.0037693176418542,-0.0001747701317071,Background,0.18904142451170947,0.4250301750115655,0.6868932456375141,0.4250301750115655
AP5M1,714,499,41.71507263183594,0.0005733532,0.1889231711930256,0.4250765163037622,0.6868932456375141,1894,0,3,0.0011693123333506,3065,1894,-0.0003407960757613,3.334880602778867e-05,0.0002569751814007,-8.46274197101593e-05,-0.0001278854906558,0.0017178868874907,Background,0.1889231711930256,0.4250765163037622,0.6868932456375141,0.4250765163037622
RBM10,659,955,41.53813552856445,0.00057857455,0.18890500198048216,0.425083636574459,0.6868932456375141,1895,0,2,0.0011617085077036,3277,1895,-0.0002971906214952,-7.25779464119114e-05,0.0002660676836967,-3.5842880606651306e-05,-5.203577529755421e-05,0.0016669539036229,Background,0.18890500198048216,0.425083636574459,0.6868932456375141,0.425083636574459
OR5D14,290,381,41.53388977050781,0.00064664765,0.18879661703643355,0.42512611168792935,0.6868932456375141,1896,0,1,0.001177769297763,2686,1896,-0.0005803882377222,-0.0029498892836272,0.0095958802849054,0.0,0.0,0.0,Background,0.18879661703643355,0.42512611168792935,0.6868932456375141,0.42512611168792935
PIGW,721,513,41.63034439086914,0.00057172606,0.18872416964846875,0.42515450367155777,0.6868932456375141,1897,0,3,0.0011652102022904,3188,1897,-0.0002859635278582,2.6165525923715904e-05,0.0002662278711795,-8.304417133331299e-05,-0.00010078305786,0.001597155816853,Background,0.18872416964846875,0.42515450367155777,0.6868932456375141,0.42515450367155777
CAV1,727,147,25.71992874145508,0.00057003205,0.1884922766768935,0.4252453846634769,0.6868932456375141,1898,0,5,0.0012008528329989,1893,1898,0.0013052411377429,-2.108141234202776e-05,0.0003649517893791,7.414445281028748e-05,5.9633526689140126e-05,4.675611853599548e-05,Background,0.1884922766768935,0.4252453846634769,0.6868932456375141,0.4252453846634769
ATP8B1,650,1270,41.71564483642578,0.0005769781,0.1883991353756675,0.42528188871600126,0.6868932456375141,1899,0,3,0.001181801790286,2384,1899,-0.0001949733123183,-0.000162338867085,0.0002079056575894,0.000130271539092,-0.0002921708219218,0.0017444546101614,Background,0.1883991353756675,0.42528188871600126,0.6868932456375141,0.42528188871600126
B3GNT7,698,404,40.03790283203125,0.0005720189,0.18836022776049863,0.42529713762575105,0.6868932456375141,1900,0,3,0.0011802836776998,2468,1900,-0.0005971617647446,-0.0001640133559703,0.0002878233790397,4.315190017223358e-05,-7.551442831754684e-05,0.0018703752430155,Background,0.18836022776049863,0.42529713762575105,0.6868932456375141,0.42529713762575105
NAT8L,615,316,37.78654479980469,0.0005797756,0.18819453320434515,0.42536207889750166,0.6868932456375141,1901,0,2,0.0012996839802093,1063,1901,-0.0007691653445363,0.0008964613080024,0.0102096330374479,-2.3245811462402344e-06,-0.0001266412436962,-0.0081945601850748,Background,0.18819453320434515,0.42536207889750166,0.6868932456375141,0.42536207889750166
OR5D16,158,342,42.64060974121094,0.0010750504,0.1881218053338913,0.4253905840366447,0.6868932456375141,1902,0,2,0.0013597779328862,829,1902,0.0,0.0071161268278956,0.0024569334927946,0.0,-0.0022118892520666,0.0,Background,0.1881218053338913,0.4253905840366447,0.6868932456375141,0.4253905840366447
SMARCD2,700,533,38.109107971191406,0.0005704986,0.1880937325629029,0.4254015870513897,0.6868932456375141,1903,0,3,0.0012203267198483,1641,1903,-0.0001930370926856,0.0004482176154851,0.0003799861297011,-9.078904986381532e-05,-0.0001094695180654,0.0009937509894371,Background,0.1880937325629029,0.4254015870513897,0.6868932456375141,0.4254015870513897
MAX,715,160,37.730224609375,0.00056822714,0.18791613371949895,0.42547119758189483,0.6868932456375141,1904,0,3,0.001168727123652,3084,1904,-0.000213942490518,3.624350574682467e-05,0.0002917479723691,-7.209181785583496e-05,-0.0001493206509621,0.0015340746613219,Background,0.18791613371949895,0.42547119758189483,0.6868932456375141,0.42547119758189483
IRAG1,502,925,45.17333221435547,0.0005927191,0.18779233603562046,0.42551972192107834,0.6868932456375141,1905,0,3,0.001385453949124,728,1905,-0.0003994815051555,0.0025637536309659,0.0002995375543832,-5.55478036403656e-05,0.0025637536309659,-0.000174231827259,Background,0.18779233603562046,0.42551972192107834,0.6868932456375141,0.42551972192107834
KIRREL3,641,784,41.55868911743164,0.00057448033,0.18770908897606364,0.42555235247574363,0.6868932456375141,1906,0,2,0.001178118999722,2659,1906,-0.0005416077910922,-2.9081855245749463e-05,0.000405166298151,-2.3636966943740845e-06,-0.0001165200010291,0.0016232632333412,Background,0.18770908897606364,0.42555235247574363,0.6868932456375141,0.42555235247574363
SP8,660,545,41.28563690185547,0.0005720831,0.18762720680845574,0.4255844485277811,0.6868932456375141,1907,0,3,0.0011601490073323,3325,1907,-0.00043910369277,-0.0001984667032957,0.0002372842282056,1.317448914051056e-05,-0.0001022778451442,0.0016558244824409,Background,0.18762720680845574,0.4255844485277811,0.6868932456375141,0.4255844485277811
MRC1,659,1495,41.841522216796875,0.0005721197,0.18761403198048215,0.4255896128235975,0.6868932456375141,1908,0,4,0.0011674276959215,3128,1908,-0.0004718629643321,7.788157381583005e-05,0.0001621209084987,3.724917769432068e-05,-2.4455868697259575e-05,0.0015828132163733,Background,0.18761403198048215,0.4255896128235975,0.6868932456375141,0.4255896128235975
HELZ,656,1986,41.759796142578125,0.0005723341,0.18759514656703552,0.42559701558856444,0.6868932456375141,1909,0,3,0.0011660315031416,3167,1909,-0.0003956323489546,-0.0002692118287086,0.0002455618232488,1.2774020433425903e-05,0.0018135653808712,-4.005059599876404e-05,Background,0.18759514656703552,0.42559701558856444,0.6868932456375141,0.42559701558856444
PCSK2,683,641,41.71075439453125,0.0005696025,0.18758997274999686,0.4255990436425471,0.6868932456375141,1910,0,3,0.0011642309712702,3213,1910,-0.0002090064808726,-8.962211722973734e-05,0.0002697044983506,3.4222379326820374e-05,-0.0001475485187256,0.0015055015683174,Background,0.18758997274999686,0.4255990436425471,0.6868932456375141,0.4255990436425471
ACSM6,150,506,42.03804397583008,0.001134799,0.18740105435989757,0.42567309799416664,0.6868932456375141,1911,0,2,0.0013970995285928,687,1911,0.0,0.0057885963469743,0.0,-0.0013726600445806,0.0057885963469743,-0.0001160409301519,Background,0.18740105435989757,0.42567309799416664,0.6868932456375141,0.42567309799416664
DIS3L2,651,935,41.31022262573242,0.00057118136,0.18726070900628733,0.425728113839071,0.6868932456375141,1912,0,2,0.0011623739905542,3262,1912,-0.0001836231967899,-0.0001820288598537,0.0002037603408098,-3.636814653873443e-05,-0.0003355154767632,0.0020200558938086,Background,0.18726070900628733,0.425728113839071,0.6868932456375141,0.425728113839071
UPP2,464,335,42.28825759887695,0.0005958878,0.18718227888447406,0.42575885933725516,0.6868932456375141,1913,0,2,0.0011727001927844,2955,1913,-0.0004989076405763,-0.0001082774251699,0.0055769039317965,3.69679182767868e-05,-0.0001636678352952,-5.6529417634010315e-05,Background,0.18718227888447406,0.42575885933725516,0.6868932456375141,0.42575885933725516
KLHDC4,645,621,41.75820541381836,0.0005712135,0.1871408784321148,0.42577508896663535,0.6868932456375141,1914,0,2,0.0011874654807747,2185,1914,-0.0002839045773725,-0.0001153741031885,0.0004636980593204,-0.0001287311315536,-0.0003004912286996,0.0017057928489521,Background,0.1871408784321148,0.42577508896663535,0.6868932456375141,0.42577508896663535
PITPNC1,695,268,41.711917877197266,0.0005660921,0.18711821681616264,0.4257839727302618,0.6868932456375141,1915,0,3,0.0011790439047779,2555,1915,-0.0009900466538965,-1.2393542419886217e-05,0.0003513358533382,1.9166618585586548e-06,-7.419611210934818e-05,0.0018508422654122,Background,0.18711821681616264,0.4257839727302618,0.6868932456375141,0.4257839727302618
GDPGP1,694,410,41.79462432861328,0.0005655564,0.18699211158735143,0.42583340895039606,0.6868932456375141,1916,0,4,0.0012184060557577,1665,1916,-9.673017484601588e-05,0.0008146649925038,0.0002490580081939,0.0001130979508161,0.0004827909579034,-0.000104758888483,Background,0.18699211158735143,0.42583340895039606,0.6868932456375141,0.42583340895039606
PDCD6IP,691,896,41.75672912597656,0.0005655202,0.18692772909447825,0.42585864885371205,0.6868932456375141,1917,0,3,0.0011744633611411,2879,1917,-0.000377039425075,6.687454879283905e-05,0.0002898341044783,-4.069879651069641e-05,-4.845949661103077e-05,0.0015245807589963,Background,0.18692772909447825,0.42585864885371205,0.6868932456375141,0.42585864885371205
DOK6,676,422,34.84636688232422,0.00056689937,0.1869121678325967,0.4258647493891648,0.6868932456375141,1918,0,4,0.0011732994474432,2930,1918,-0.0002914005890488,4.605576395988464e-05,0.0001236116513609,0.0001661609858274,-0.0001009590923786,0.0014371797442436,Background,0.1869121678325967,0.4258647493891648,0.6868932456375141,0.4258647493891648
RARA,694,464,36.76221466064453,0.00056497724,0.18687627958735145,0.42587881885003487,0.6868932456375141,1919,0,4,0.0012089030451034,1781,1919,-0.0002337171899853,0.0010037757456302,0.0003019273281097,0.000264024361968,0.0001050904393196,-7.847137749195099e-05,Background,0.18687627958735145,0.42587881885003487,0.6868932456375141,0.42587881885003487
ABCA9,487,1716,43.604949951171875,0.0005903439,0.18684374086611416,0.425891575260641,0.6868932456375141,1920,0,3,0.0012679996610111,1225,1920,-0.0001124954869737,-0.0011588680790737,0.0001622848212718,0.0004194118082523,0.0049890647642314,-0.0001535415649414,Background,0.18684374086611416,0.425891575260641,0.6868932456375141,0.425891575260641
PTPRK,653,1458,41.84440231323242,0.0005686086,0.1867878559987619,0.4259134844253609,0.6868932456375141,1921,0,3,0.0012545307011346,1310,1921,-0.0004394175484776,0.0010939912172034,0.0002650544047355,-0.0001051630824804,0.0009431504877284,-0.0002459958195686,Background,0.1867878559987619,0.4259134844253609,0.6868932456375141,0.4259134844253609
PIP,599,155,35.467864990234375,0.0005744329,0.18675458591806834,0.4259265277729135,0.6868932456375141,1922,0,4,0.0012515868583199,1330,1922,-0.0002638297155499,-0.0019198057707399,0.0004866309463977,0.0003164540976285,0.0012695267796516,8.575806714361534e-05,Background,0.18675458591806834,0.4259265277729135,0.6868932456375141,0.4259265277729135
SH3RF2,699,792,41.29866409301758,0.00056384044,0.18674333831449605,0.4259309373508088,0.6868932456375141,1923,0,4,0.0012028469504238,1858,1923,0.0002654734998941,-0.0001194011420011,0.0002696709707379,6.05657696723938e-05,-9.04090702533722e-05,0.0011392701417207,Background,0.18674333831449605,0.4259309373508088,0.6868932456375141,0.4259309373508088
KLF1,702,394,37.08845520019531,0.0005634472,0.1867208567174057,0.4259397511985895,0.6868932456375141,1924,0,3,0.0011966431428393,1960,1924,-0.0005122848669998,0.0015045087784528,0.0003381501883268,0.0001528095453977,-9.28761437535286e-05,-0.0001123305410146,Background,0.1867208567174057,0.4259397511985895,0.6868932456375141,0.4259397511985895
MATN2,656,964,41.71773147583008,0.0005659993,0.1863281865670355,0.4260937024048004,0.6868932456375141,1925,0,3,0.0012701140323848,1214,1925,-0.0009284429252147,-0.00030511431396,0.0002501225098967,-0.0001840814948081,0.0009151846170425,0.0014880523085594,Background,0.1863281865670355,0.4260937024048004,0.6868932456375141,0.4260937024048004
ADAM18,371,762,41.22028732299805,0.00061043195,0.18627736379829768,0.42611362892588645,0.6868932456375141,1926,0,2,0.0012470524443157,1372,1926,0.0006828071782365,0.0,0.0036061676219105,0.0,0.0,-0.0037240807432681,Background,0.18627736379829768,0.42611362892588645,0.6868932456375141,0.42611362892588645
GPRASP2,614,1018,42.3421630859375,0.0005701848,0.1862535863870574,0.4261229516052767,0.6868932456375141,1927,0,3,0.0011810480183725,2426,1927,-0.0001497147604823,-0.0001966021955013,0.0003250073641538,3.782659769058227e-05,-0.0002830885350704,0.0017626686021685,Background,0.1862535863870574,0.4261229516052767,0.6868932456375141,0.4261229516052767
DNAJC22,629,344,38.23733901977539,0.00056784216,0.18612113277119893,0.4261748849526337,0.6868932456375141,1928,0,3,0.0012237757977908,1592,1928,-4.58732210972812e-05,0.0005995210376568,0.0002411268651485,-6.815232336521149e-05,0.0011188582284376,-0.000353030860424,Background,0.18612113277119893,0.4261748849526337,0.6868932456375141,0.4261748849526337
MAPK1IP1L,714,254,41.764495849609375,0.00055862917,0.1859783651930256,0.42623086370473384,0.6868932456375141,1929,0,5,0.0012220023959007,1625,1929,0.0001835533475968,0.0004028566181659,0.0003103464841842,-5.682557821273804e-05,0.0006353938952088,2.2914260625839233e-05,Background,0.1859783651930256,0.42623086370473384,0.6868932456375141,0.42623086370473384
C9orf153,647,110,38.451881408691406,0.00056447124,0.18583470771832933,0.4262871928829452,0.6868932456375141,1930,0,2,0.0012017758050238,1874,1930,0.0,-0.0004654582589864,0.0070570618845522,-9.708106517791748e-05,0.0001514144241809,-0.0004509594291448,Background,0.18583470771832933,0.4262871928829452,0.6868932456375141,0.4262871928829452
RNASE7,511,173,36.69078063964844,0.00058088487,0.18569955977217123,0.4263401867837576,0.6868932456375141,1931,0,1,0.0011701064521062,3035,1931,0.0068284883163869,-7.912700675660744e-05,0.0,-0.0003047889913432,-0.0003272173926234,-3.888178616762161e-05,Background,0.18569955977217123,0.4263401867837576,0.6868932456375141,0.4263401867837576
SBK1,668,574,31.199234008789062,0.0005606193,0.1854967451341376,0.42641971648693944,0.6868932456375141,1932,0,2,0.001211561554009,1745,1932,-0.000782729126513,-0.0003949999809265,0.0007465817034244,-2.8382986783981323e-05,-0.0002479646354913,0.001633383333683,Background,0.1854967451341376,0.42641971648693944,0.6868932456375141,0.42641971648693944
KLHL25,672,590,32.932186126708984,0.00055941264,0.18533547330766803,0.42648295814328596,0.6868932456375141,1933,0,3,0.0011667099404424,3148,1933,-0.0003282949328422,-0.0001079030334949,0.000276356935501,9.970739483833311e-06,-0.0001424243673682,0.0017095953226089,Background,0.18533547330766803,0.42648295814328596,0.6868932456375141,0.42648295814328596
CHST4,717,402,41.712528228759766,0.0005537275,0.1850524406400006,0.4265939520590815,0.6868932456375141,1934,0,2,0.0011539455009237,3482,1934,-0.0003848792985081,-7.56419876779546e-06,0.0001889625564217,-7.674843072891235e-05,-0.000116185285151,0.0017895330674946,Background,0.1850524406400006,0.4265939520590815,0.6868932456375141,0.4265939520590815
GOLGA7,715,137,37.07366180419922,0.000552171,0.18470490571949894,0.4267302490894016,0.6868932456375141,1935,0,5,0.0012405928911657,1432,1935,-0.0004252018406987,0.0007298421114683,0.0003543980419635,0.0003713387995958,1.099334258469753e-05,0.0002474524080753,Background,0.18470490571949894,0.4267302490894016,0.6868932456375141,0.4267302490894016
IQSEC1,581,1279,41.571434020996094,0.00056601356,0.18463468028225233,0.4267577913231627,0.6868932456375141,1936,0,4,0.0012225765023867,1612,1936,-4.3091000407002866e-05,-0.0008453999180346,0.0007987841963768,3.1560659408569336e-05,0.0005499914404936,0.0003565438091754,Background,0.18463468028225233,0.4267577913231627,0.6868932456375141,0.4267577913231627
C4orf33,698,203,41.54747009277344,0.0005532023,0.18459690776049864,0.4267726057556192,0.6868932456375141,1937,0,2,0.0012283884097982,1546,1937,-0.0008533159270882,-0.0001774653792381,0.00955356284976,0.0002663135528564,-0.0001972001045942,-0.0075833084993064,Background,0.18459690776049864,0.4267726057556192,0.6868932456375141,0.4267726057556192
BSG,693,288,34.815067291259766,0.0005523062,0.18432306532305606,0.4268800102056737,0.6868932456375141,1938,0,3,0.0011633348351378,3233,1938,-0.0003636376932263,-0.0001722443848848,0.0002222442999482,1.5391036868095398e-05,-0.0001298869028687,0.0018202605424448,Background,0.18432306532305606,0.4268800102056737,0.6868932456375141,0.4268800102056737
LHX6,709,401,34.66337585449219,0.0005507854,0.18431816253851957,0.42688193318889034,0.6868932456375141,1939,0,3,0.0011798522216254,2489,1939,-0.0002712701098062,0.0014278274029493,0.0001854840666055,-0.0001252815127372,-7.813889533281326e-05,0.0002048853784799,Background,0.18431816253851957,0.42688193318889034,0.6868932456375141,0.42688193318889034
EMC1,702,994,41.81881332397461,0.00055046653,0.18412472271740576,0.4269578060574436,0.6868932456375141,1940,0,2,0.0011742408721532,2891,1940,-0.0002959435805678,-2.5533132429700345e-05,0.0003579817712306,-0.0001110676676034,-0.0001922501251101,0.0016788302455097,Background,0.18412472271740576,0.4269578060574436,0.6868932456375141,0.4269578060574436
SLC38A5,583,515,41.24372863769531,0.00056278124,0.18403766017334866,0.4269919554665011,0.6868932456375141,1941,0,2,0.00111731539886,4339,1941,0.0,2.375524491071701e-05,0.0,-0.00019415281713,-3.151688724756241e-05,0.0015431145438924,Background,0.18403766017334866,0.4269919554665011,0.6868932456375141,0.4269919554665011
DOCK6,605,2075,41.848018646240234,0.00056004757,0.18401852331504656,0.4269994617804559,0.6868932456375141,1942,0,4,0.0012282641890144,1549,1942,-0.0005947645986452,0.0003297695657238,0.0002722162753343,3.74671071767807e-05,-0.0003709277370944,0.0016108521958813,Background,0.18401852331504656,0.4269994617804559,0.6868932456375141,0.4269994617804559
SLC14A1,714,392,45.39851379394531,0.0005480733,0.1838671911930256,0.42705882179735694,0.6868932456375141,1943,0,4,0.0012223590584683,1617,1943,0.0006302259862422,0.000293992459774,0.0007484350353479,-7.917918264865875e-05,-3.682821261463687e-05,5.22024929523468e-05,Background,0.1838671911930256,0.42705882179735694,0.6868932456375141,0.42705882179735694
CLEC16A,676,1096,41.464298248291016,0.00055107864,0.18374802183259673,0.4271055671352395,0.6868932456375141,1944,0,3,0.0011617014076844,3278,1944,-0.0003036446869373,0.0002289144322276,0.0017587076872587,1.1507421731948853e-05,-6.132572889328003e-05,-0.000216607004404,Background,0.18374802183259673,0.4271055671352395,0.6868932456375141,0.4271055671352395
TEX29,610,216,41.02567672729492,0.0005575533,0.18363557947332856,0.4271496746802175,0.6868932456375141,1945,0,4,0.0015011473911592,378,1945,-0.0008714110590517,0.0050234459340572,4.056654870510101e-05,0.0004206728190183,0.0050234459340572,-0.0060019451193511,Background,0.18363557947332856,0.4271496746802175,0.6868932456375141,0.4271496746802175
SLC10A3,683,485,37.02333450317383,0.00054929603,0.18352867874999687,0.4271916092630198,0.6868932456375141,1946,0,3,0.0011755924049774,2838,1946,-0.0004578428342938,-9.79434626060538e-05,0.0002613607794046,7.805414497852325e-05,-0.000256815488683,0.0016081196954473,Background,0.18352867874999687,0.4271916092630198,0.6868932456375141,0.4271916092630198
DMRTB1,598,494,40.835113525390625,0.00055828615,0.18350152926312452,0.4272022594848018,0.6868932456375141,1947,0,2,0.0011909631701479,2086,1947,-0.0009569599060341,0.0,0.0073754857294261,8.868053555488586e-05,0.0,-2.281739580212161e-05,Background,0.18350152926312452,0.4272022594848018,0.6868932456375141,0.4272022594848018
ITGA6,679,1141,41.73603820800781,0.0005492051,0.18343236451993783,0.4272293917236861,0.6868932456375141,1948,0,3,0.0011764002182848,2794,1948,-0.0002583721652626,9.011224028654397e-05,0.0002634357661008,-0.0001086629927158,-0.000170136539964,0.0015544363996014,Background,0.18343236451993783,0.4272293917236861,0.6868932456375141,0.4272293917236861
RGS1,706,212,41.92813491821289,0.0005466304,0.18343182763848837,0.4272296023351653,0.6868932456375141,1949,0,2,0.0011675860193523,3122,1949,-0.0008050454780459,-0.0001035556197166,0.0002741375938057,0.0,-0.0001184828579425,0.0018251533620059,Background,0.18343182763848837,0.4272296023351653,0.6868932456375141,0.4272296023351653
NXT2,516,298,41.728641510009766,0.00056833914,0.1833395668045933,0.4272657953458833,0.6868932456375141,1950,0,1,0.0011775776826957,2700,1950,0.0,-0.0022968016564846,0.0,-0.0001405235379934,0.0095036216080188,-0.0003818701952695,Background,0.1833395668045933,0.4272657953458833,0.6868932456375141,0.4272657953458833
OSGIN1,688,487,37.79816055297851,0.00054700306,0.18316678525608862,0.42733357748148404,0.6868932456375141,1951,0,4,0.0011765689019545,2777,1951,-0.0004777200520038,0.0014798436313867,0.0002213213592767,7.650069892406464e-05,5.418341606855393e-05,-0.0001062415540218,Background,0.18316678525608862,0.42733357748148404,0.6868932456375141,0.42733357748148404
PLCG1,681,1305,37.75105285644531,0.00054677826,0.18298614667935087,0.4274044442199683,0.6868932456375141,1952,0,3,0.0011628702727983,3246,1952,-0.0003355536609888,-0.0001403354108333,0.0002069491893053,2.148747444152832e-05,-0.0002065319567918,0.0018397225067019,Background,0.18298614667935087,0.4274044442199683,0.6868932456375141,0.4274044442199683
HTR3C,352,455,41.21126937866211,0.00059873814,0.1829786598167352,0.4274073814589558,0.6868932456375141,1953,0,2,0.0012133557769047,1725,1953,0.0017011072486639,0.0,0.0,-5.5205076932907104e-05,0.0,0.0007399022579193,Background,0.1829786598167352,0.4274073814589558,0.6868932456375141,0.4274073814589558
KCNK3,676,422,28.358116149902344,0.00054613926,0.1827601458325967,0.4274931104341505,0.6868932456375141,1954,0,2,0.0011507417670517,3561,1954,-0.0003661764785647,-4.60529699921608e-05,0.0002598483115434,-1.992657780647278e-05,-1.3191252946853638e-05,0.0013793557882308,Background,0.1827601458325967,0.4274931104341505,0.6868932456375141,0.4274931104341505
MAP3K10,655,1005,35.444129943847656,0.00054773217,0.18265407785739482,0.42753472501828793,0.6868932456375141,1955,0,3,0.0012154940206531,1702,1955,-0.0010354532860219,0.0018936060369014,0.0002823267132043,-0.000112572684884,-0.0001497669145464,0.0002332851290702,Background,0.18265407785739482,0.42753472501828793,0.6868932456375141,0.42753472501828793
RIMS2,632,1398,41.852821350097656,0.00054990087,0.1825986498649575,0.42755647189215773,0.6868932456375141,1956,0,3,0.0011894004806057,2124,1956,-0.0004669288173317,0.0001649800688028,0.0002246238291263,-3.5000964999198914e-05,-0.0003403704613447,0.0017056483775377,Background,0.1825986498649575,0.42755647189215773,0.6868932456375141,0.42755647189215773
PFN2,701,91,19.98155403137207,0.0005429136,0.18259545464951368,0.4275577255244134,0.6868932456375141,1957,0,3,0.0011994579730134,1915,1957,0.0023773335851728,-4.6053897676756606e-05,0.0002818312495946,-4.0920451283454895e-05,-8.219201117753983e-05,7.98739492893219e-05,Background,0.18259545464951368,0.4275577255244134,0.6868932456375141,0.4275577255244134
NEUROG1,713,247,33.693817138671875,0.0005414541,0.18252513844461704,0.42758531404094735,0.6868932456375141,1958,0,3,0.0011995990845507,1912,1958,-0.0005777062615379,0.0015296451747417,0.000359714962542,0.0001482237130403,-8.230004459619522e-05,-0.0001756362617015,Background,0.18252513844461704,0.42758531404094735,0.6868932456375141,0.42758531404094735
GRIK5,677,987,41.27550506591797,0.000544686,0.18248922100172826,0.42759940636256955,0.6868932456375141,1959,0,4,0.0012619205960449,1258,1959,-0.0006229328573681,0.000330813229084,0.0002894345670938,0.0003995709121227,-0.0001844093203544,0.0009485632181167,Background,0.18248922100172826,0.42759940636256955,0.6868932456375141,0.42759940636256955
