gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,tier,z_track_b,p_track_b,q_track_b,p_combined
ARL6IP1,720,204,41.5687370300293,0.00012970547,-0.17622647705700462,0.569941989696865,0.7010908567228249,4290,0,1,0.0010887899,5673,4290,-1.1451542e-05,0.00019488344,Background,-0.17622647705700462,0.569941989696865,0.7010908567228249,0.569941989696865
MYSM1,697,850,41.660865783691406,0.00014626811,-0.17624343247144345,0.569948649695675,0.7010908567228249,4291,0,1,0.0011247008,5128,4291,0.00028493255,-7.8077544e-05,Background,-0.17624343247144345,0.569948649695675,0.7010908567228249,0.569948649695675
TPRKB,619,175,40.47662734985352,0.00020987634,-0.1762556347762089,0.5699534426853541,0.7010908567228249,4292,1,2,0.0011464418,4893,4292,0.00019589253,0.000100918114,Background,-0.1762556347762089,0.5699534426853541,0.7010908567228249,0.5699534426853541
MFSD6L,685,617,41.3543586730957,0.0001551297,-0.17626023191356696,0.5699552484097409,0.7010908567228249,4293,0,1,0.001228193,4284,4293,-0.0003719367,0.0005913216,Background,-0.17626023191356696,0.5699552484097409,0.7010908567228249,0.5699552484097409
TREML1,705,340,41.16582489013672,0.0001398666,-0.17627656686479312,0.5699616646559988,0.7010908567228249,4294,0,1,0.0012427965,4209,4294,-0.0004434958,0.00064129755,Background,-0.17627656686479312,0.5699616646559988,0.7010908567228249,0.5699616646559988
LYSMD3,715,313,42.612430572509766,0.00013249842,-0.17628297600898504,0.5699641821146942,0.7010908567228249,4295,1,2,0.0010919967,5617,4295,0.0001367405,5.0641713e-05,Background,-0.17628297600898504,0.5699641821146942,0.7010908567228249,0.5699641821146942
PLXNA4,655,1898,42.000125885009766,0.0001784109,-0.17629860486199164,0.5699703209866397,0.7010908567228249,4296,0,1,0.0011196629,5195,4296,0.00027185678,-1.9545201e-05,Background,-0.17629860486199164,0.5699703209866397,0.7010908567228249,0.5699703209866397
SOCS4,709,462,41.71830368041992,0.00013633662,-0.1763193791255149,0.5699784809030608,0.7010908567228249,4297,0,1,0.0011204374,5185,4297,0.00027385727,-8.1049046e-05,Background,-0.1763193791255149,0.5699784809030608,0.7010908567228249,0.5699784809030608
KLHL36,692,620,40.86578369140625,0.00014892488,-0.1763218763224664,0.569979461774252,0.7010908567228249,4298,1,2,0.00110342,5438,4298,0.00015095994,5.9651444e-05,Background,-0.1763218763224664,0.569979461774252,0.7010908567228249,0.569979461774252
BAZ1B,682,1502,44.82612609863281,0.00015564414,-0.17638732980684974,0.5700051710209755,0.7010908567228249,4299,0,1,0.0011692243,4677,4299,0.00040738843,-0.0001872736,Background,-0.17638732980684974,0.5700051710209755,0.7010908567228249,0.5700051710209755
SNX16,714,353,44.77650451660156,0.00013123115,-0.17642504627071098,0.5700199854049872,0.7010908567228249,4300,0,1,0.0011182196,5208,4300,-8.254871e-05,0.00026813825,Background,-0.17642504627071098,0.5700199854049872,0.7010908567228249,0.5700199854049872
SPINK14,553,123,41.36186218261719,0.0002715555,-0.17642519827713082,0.5700200451103181,0.7010908567228249,4301,0,1,0.0011622641,4742,4301,-3.3481047e-06,0.00038738735,Background,-0.17642519827713082,0.5700200451103181,0.7010908567228249,0.5700200451103181
QPCTL,705,390,41.16071701049805,0.00013712353,-0.17647200974241936,0.5700384317182438,0.7010908567228249,4302,1,2,0.0010965279,5547,4302,0.00011874735,7.51738e-05,Background,-0.17647200974241936,0.5700384317182438,0.7010908567228249,0.5700384317182438
ARL4D,699,203,36.19925308227539,0.00014154898,-0.17647279606015198,0.5700387405668357,0.7010908567228249,4303,0,1,0.0010942693,5582,4303,0.00020816177,-7.979135e-06,Background,-0.17647279606015198,0.5700387405668357,0.7010908567228249,0.5700387405668357
MSGN1,720,238,37.28520965576172,0.0001261105,-0.17648385143823894,0.5700430828756073,0.7010908567228249,4304,0,1,0.0012093306,4389,4304,-0.0003511533,0.00052950194,Background,-0.17648385143823894,0.5700430828756073,0.7010908567228249,0.5700430828756073
RAB3D,707,233,29.87942123413086,0.00013538898,-0.17649113694492816,0.570045944457378,0.7010908567228249,4305,0,1,0.0011176177,5215,4305,0.0002665911,-7.512211e-05,Background,-0.17649113694492816,0.570045944457378,0.7010908567228249,0.570045944457378
ENOPH1,714,262,40.6723518371582,0.00012950732,-0.17654822517589677,0.5700683672921829,0.7010908567228249,4306,0,1,0.0010991283,5500,4306,-3.6921352e-05,0.00022007182,Background,-0.17654822517589677,0.5700683672921829,0.7010908567228249,0.5700683672921829
LYVE1,717,395,41.49995040893555,0.00012724106,-0.17655620217768608,0.5700715004417496,0.7010908567228249,4307,0,1,0.0011373057,4969,4307,-0.00013836846,0.0003183182,Background,-0.17655620217768608,0.5700715004417496,0.7010908567228249,0.5700715004417496
RBM4,674,372,41.001495361328125,0.00015936943,-0.17656434115332795,0.5700746972056966,0.7010908567228249,4308,0,1,0.0011925482,4492,4308,-0.0002515465,0.00047692796,Background,-0.17656434115332795,0.5700746972056966,0.7010908567228249,0.5700746972056966
SLITRK6,717,896,41.66397857666016,0.00012693065,-0.1765784042125815,0.5700802207745914,0.7010908567228249,4309,0,1,0.0011678613,4691,4309,0.0004034452,-0.0002239378,Background,-0.1765784042125815,0.5700802207745914,0.7010908567228249,0.5700802207745914
HAUS8,616,437,40.957916259765625,0.00020744186,-0.17660961131301098,0.5700924779852836,0.7010908567228249,4310,0,1,0.0011347414,4997,4310,-1.808256e-05,0.0003114473,Background,-0.17660961131301098,0.5700924779852836,0.7010908567228249,0.5700924779852836
RCC1L,651,499,41.497161865234375,0.00017703301,-0.17662583301754908,0.5700988493563771,0.7010908567228249,4311,1,2,0.0011251628,5121,4311,0.00012984592,0.00012051826,Background,-0.17662583301754908,0.5700988493563771,0.7010908567228249,0.5700988493563771
KIF12,684,696,44.37771987915039,0.0001506951,-0.1766284154927042,0.570099863669034,0.7010908567228249,4312,0,1,0.0011731883,4633,4312,-0.00020581484,0.0004189303,Background,-0.1766284154927042,0.570099863669034,0.7010908567228249,0.570099863669034
BTNL9,663,583,41.78466796875,0.00016714225,-0.1766328330603015,0.5701015987455352,0.7010908567228249,4313,0,1,0.0012454191,4199,4313,0.0006504776,-0.0004141042,Background,-0.1766328330603015,0.5701015987455352,0.7010908567228249,0.5701015987455352
SH3BGR,664,218,41.32280349731445,0.00016629428,-0.1766359306990364,0.5701028153962129,0.7010908567228249,4314,1,2,0.0011159898,5240,4314,0.00015985686,7.531978e-05,Background,-0.1766359306990364,0.5701028153962129,0.7010908567228249,0.5701028153962129
SYK,673,621,39.69197082519531,0.00015817152,-0.17670421680552245,0.5701296357652107,0.7010908567228249,4315,1,2,0.0011081004,5347,4315,0.00017636456,4.7324225e-05,Background,-0.17670421680552245,0.5701296357652107,0.7010908567228249,0.5701296357652107
SHISA5,681,255,42.15557098388672,0.00015191047,-0.1767059112553712,0.5701303012811052,0.7010908567228249,4316,1,2,0.0011070551,5374,4316,8.7406486e-05,0.00012742681,Background,-0.1767059112553712,0.5701303012811052,0.7010908567228249,0.5701303012811052
TRAF1,711,426,40.52410888671875,0.000129238,-0.17672224567404404,0.5701367168135244,0.7010908567228249,4317,1,2,0.0010879321,5687,4317,2.9999763e-05,0.00015276973,Background,-0.17672224567404404,0.5701367168135244,0.7010908567228249,0.5701367168135244
SMNDC1,728,238,41.508766174316406,0.00011683442,-0.17674429180136553,0.570145375656408,0.7010908567228249,4318,0,1,0.0011499026,4866,4318,-0.00018744543,0.00035267114,Background,-0.17674429180136553,0.570145375656408,0.7010908567228249,0.570145375656408
SMAD1,713,468,41.64445495605469,0.00012730862,-0.17675680897818635,0.5701502918911194,0.7010908567228249,4319,0,1,0.001115093,5248,4319,-8.0082566e-05,0.0002601244,Background,-0.17675680897818635,0.5701502918911194,0.7010908567228249,0.5701502918911194
RC3H1,699,1164,41.81609725952149,0.0001373131,-0.17677401057949008,0.5701570479582834,0.7010908567228249,4320,0,1,0.0010914853,5625,4320,-7.2084367e-06,0.00020139525,Background,-0.17677401057949008,0.5701570479582834,0.7010908567228249,0.5701570479582834
BCCIP,711,348,41.09137725830078,0.00012824126,-0.17679340083345824,0.5701646636117408,0.7010908567228249,4321,0,1,0.0011573423,4792,4321,-0.00019208342,0.000373443,Background,-0.17679340083345824,0.5701646636117408,0.7010908567228249,0.5701646636117408
CREG2,614,310,41.6363639831543,0.0002065734,-0.17679384123034467,0.5701648365802948,0.7010908567228249,4322,1,2,0.0011299655,5058,4322,0.0002819274,1.0212883e-05,Background,-0.17679384123034467,0.5701648365802948,0.7010908567228249,0.5701648365802948
RAD51AP1,675,388,42.37153244018555,0.00015526579,-0.176798462970509,0.570166651796025,0.7010908567228249,4323,0,1,0.0011488931,4874,4323,0.00034988113,-0.00013030297,Background,-0.176798462970509,0.570166651796025,0.7010908567228249,0.570166651796025
NOL11,682,743,43.36241912841797,0.00014961488,-0.17681364879407524,0.5701726161074238,0.7010908567228249,4324,1,2,0.0011029452,5445,4324,4.967302e-05,0.00016191369,Background,-0.17681364879407524,0.5701726161074238,0.7010908567228249,0.5701726161074238
OXSM,724,462,41.96064376831055,0.00011857925,-0.17682046456035133,0.5701752930299657,0.7010908567228249,4325,1,2,0.0010835571,5779,4325,6.61239e-05,0.00010157004,Background,-0.17682046456035133,0.5701752930299657,0.7010908567228249,0.5701752930299657
TMEM167A,730,72,36.95642852783203,0.00011390867,-0.17685422162647363,0.5701885512203781,0.7010908567228249,4326,0,1,0.0011007924,5472,4326,0.00022418052,-6.3093146e-05,Background,-0.17685422162647363,0.5701885512203781,0.7010908567228249,0.5701885512203781
NUSAP1,679,503,41.34247589111328,0.00015122909,-0.17686345106865886,0.5701921760980951,0.7010908567228249,4327,0,1,0.001195346,4480,4327,-0.00027167052,0.0004855399,Background,-0.17686345106865886,0.5701921760980951,0.7010908567228249,0.5701921760980951
SMARCE1,711,417,41.3926887512207,0.00012690408,-0.17688885928407277,0.5702021551834954,0.7010908567228249,4328,0,1,0.001236142,4238,4328,-0.00043881685,0.00061828754,Background,-0.17688885928407277,0.5702021551834954,0.7010908567228249,0.5702021551834954
ENPEP,673,1021,42.112789154052734,0.00015539397,-0.17690001000435518,0.5702065346185864,0.7010908567228249,4329,0,1,0.0011293376,5065,4329,0.0002971012,-7.734075e-05,Background,-0.17690001000435518,0.5702065346185864,0.7010908567228249,0.5702065346185864
SGK2,712,374,40.76714324951172,0.00012516754,-0.17696125293849624,0.5702305875703693,0.7010908567228249,4330,0,1,0.0012262171,4301,4330,-0.00040769204,0.0005847041,Background,-0.17696125293849624,0.5702305875703693,0.7010908567228249,0.5702305875703693
PABPN1L,571,343,40.894012451171875,0.00024498696,-0.17696620953136807,0.5702325342437738,0.7010908567228249,4331,0,1,0.0011511593,4855,4331,0.00035615452,-9.690411e-06,Background,-0.17696620953136807,0.5702325342437738,0.7010908567228249,0.5702325342437738
EQTN,657,351,41.636077880859375,0.00016704225,-0.17698064621128073,0.5702382041572278,0.7010908567228249,4332,0,1,0.0011776021,4603,4332,0.00043191295,-0.00019567972,Background,-0.17698064621128073,0.5702382041572278,0.7010908567228249,0.5702382041572278
SLC30A8,656,382,41.485206604003906,0.00016765669,-0.17699470122539282,0.570243724159969,0.7010908567228249,4333,0,1,0.0012505675,4181,4333,-0.00043158513,0.0006686859,Background,-0.17699470122539282,0.570243724159969,0.7010908567228249,0.570243724159969
DAO,695,282,41.50192642211914,0.00013617694,-0.17706660580604802,0.5702719639368516,0.7010908567228249,4334,0,1,0.0011503982,4862,4334,-0.00016145967,0.00035404367,Background,-0.17706660580604802,0.5702719639368516,0.7010908567228249,0.5702719639368516
GNB3,709,340,41.79065704345703,0.000125539,-0.17708970243144231,0.5702810348201888,0.7010908567228249,4335,0,1,0.0011262184,5104,4335,-0.00011136383,0.00028890138,Background,-0.17708970243144231,0.5702810348201888,0.7010908567228249,0.5702810348201888
MOCOS,659,950,42.59568405151367,0.00016386248,-0.1770897473595158,0.5702810524650384,0.7010908567228249,4336,1,2,0.0011097302,5331,4336,3.3108518e-05,0.00019862782,Background,-0.1770897473595158,0.5702810524650384,0.7010908567228249,0.5702810524650384
PDCD2L,681,372,38.85454559326172,0.00014626153,-0.17710520306724822,0.5702871224618302,0.7010908567228249,4337,0,1,0.0011179837,5211,4337,0.00026753172,-6.0686143e-05,Background,-0.17710520306724822,0.5702871224618302,0.7010908567228249,0.5702871224618302
MAPK12,667,358,39.88087463378906,0.00015719712,-0.17710698855191015,0.5702878236830109,0.7010908567228249,4338,0,1,0.0011018158,5460,4338,-4.403293e-06,0.00022671465,Background,-0.17710698855191015,0.5702878236830109,0.7010908567228249,0.5702878236830109
FITM2,717,264,42.21355819702149,0.000119419885,-0.1771156107027761,0.5702912098948145,0.7010908567228249,4339,0,1,0.0011002527,5484,4339,-5.396083e-05,0.00022284628,Background,-0.1771156107027761,0.5702912098948145,0.7010908567228249,0.5702912098948145
BRICD5,700,272,33.673805236816406,0.00013137644,-0.1771435264437176,0.5703021733199594,0.7010908567228249,4340,0,1,0.0011731698,4634,4340,-0.00023307838,0.0004188764,Background,-0.1771435264437176,0.5703021733199594,0.7010908567228249,0.5703021733199594
TTC12,702,706,43.6971321105957,0.00012964586,-0.17716166076158393,0.5703092952310705,0.7010908567228249,4341,1,2,0.0010909155,5637,4341,6.292574e-05,0.00012041908,Background,-0.17716166076158393,0.5703092952310705,0.7010908567228249,0.5703092952310705
RBM7,715,277,41.56070709228515,0.00012019288,-0.1771625679031347,0.5703096514931941,0.7010908567228249,4342,1,2,0.001082662,5800,4342,0.00013523921,3.473935e-05,Background,-0.1771625679031347,0.5703096514931941,0.7010908567228249,0.5703096514931941
TWSG1,716,228,41.45612716674805,0.00011945312,-0.17716430225516183,0.5703103326259139,0.7010908567228249,4343,0,1,0.0011166413,5229,4343,0.00026408583,-9.515253e-05,Background,-0.17716430225516183,0.5703103326259139,0.7010908567228249,0.5703103326259139
RAB30,731,205,35.24610900878906,0.00010871352,-0.1771775183024124,0.5703155229622155,0.7010908567228249,4344,0,1,0.0011184283,5204,4344,0.0002686754,-0.00011493452,Background,-0.1771775183024124,0.5703155229622155,0.7010908567228249,0.5703155229622155
GEN1,677,931,41.65598678588867,0.00014786178,-0.17721085491098504,0.5703286151896243,0.7010908567228249,4345,0,1,0.0011168891,5221,4345,0.000264721,-5.561253e-05,Background,-0.17721085491098504,0.5703286151896243,0.7010908567228249,0.5703286151896243
CHCHD2,595,164,39.338722229003906,0.00021750527,-0.17724693756667095,0.570342785780103,0.7010908567228249,4346,0,1,0.0012806733,4052,4346,-0.000472778,0.00078037754,Background,-0.17724693756667095,0.570342785780103,0.7010908567228249,0.570342785780103
RNASE7,511,173,36.69078063964844,0.0003059078,-0.1772683975996297,0.5703512136461284,0.7010908567228249,4347,0,1,0.0011778412,4602,4347,0.0,0.00043261983,Background,-0.1772683975996297,0.5703512136461284,0.7010908567228249,0.5703512136461284
PLEKHN1,686,664,39.99837493896485,0.00013913284,-0.1773385451851947,0.5703787620498807,0.7010908567228249,4348,1,2,0.0010964838,5549,4348,0.00014404207,5.2721705e-05,Background,-0.1773385451851947,0.5703787620498807,0.7010908567228249,0.5703787620498807
HDAC3,724,433,15.267683029174805,0.00011043112,-0.17740454844640158,0.5704046825790521,0.7010908567228249,4349,0,1,0.0012258296,4304,4349,-0.00042723492,0.00058341015,Background,-0.17740454844640158,0.5704046825790521,0.7010908567228249,0.5704046825790521
STIL,622,1281,42.51900100708008,0.00019038329,-0.17741962214647655,0.5704106022179565,0.7010908567228249,4350,0,1,0.001118648,5201,4350,0.0,0.0002692407,Background,-0.17741962214647655,0.5704106022179565,0.7010908567228249,0.5704106022179565
DRAM2,719,268,41.96418762207031,0.00011347025,-0.17743951458256046,0.5704184142131997,0.7010908567228249,4351,0,1,0.0011323862,5031,4351,-0.00014470145,0.00030517275,Background,-0.17743951458256046,0.5704184142131997,0.7010908567228249,0.5704184142131997
CCM2L,634,599,35.674015045166016,0.00017892406,-0.1774914816707197,0.5704388221740679,0.7010908567228249,4352,0,1,0.0019436344,2786,4352,-0.033229478,0.033482514,Background,-0.1774914816707197,0.5704388221740679,0.7010908567228249,0.5704388221740679
CREB3L4,687,429,41.682743072509766,0.00013618194,-0.17749368723418618,0.5704396883152764,0.7010908567228249,4353,0,1,0.0011495269,4870,4353,0.000351632,-0.00015904102,Background,-0.17749368723418618,0.5704396883152764,0.7010908567228249,0.5704396883152764
LRRC55,712,313,41.35934829711914,0.000117239484,-0.1775274017481436,0.57045292821393,0.7010908567228249,4354,0,1,0.0011622387,4743,4354,0.0003873147,-0.00022151449,Background,-0.1775274017481436,0.57045292821393,0.7010908567228249,0.57045292821393
TNNT3,623,298,44.31190490722656,0.00018700794,-0.17759235147934574,0.5704784341526571,0.7010908567228249,4355,0,1,0.0011336377,5011,4355,-4.4033397e-05,0.00030850293,Background,-0.17759235147934574,0.5704784341526571,0.7010908567228249,0.5704784341526571
CCDC181,702,555,42.280517578125,0.00012309052,-0.17762827069788226,0.5704925396025928,0.7010908567228249,4356,1,2,0.001086961,5709,4356,7.792562e-05,9.6149044e-05,Background,-0.17762827069788226,0.5704925396025928,0.7010908567228249,0.5704925396025928
PPARD,721,349,38.3490104675293,0.00010919644,-0.17764423768244939,0.5704988097964552,0.7010908567228249,4357,0,1,0.0011007353,5475,4357,0.00022403896,-6.961229e-05,Background,-0.17764423768244939,0.5704988097964552,0.7010908567228249,0.5704988097964552
SMCHD1,652,2034,45.114837646484375,0.00016072707,-0.17770899513419458,0.5705242396992112,0.7010908567228249,4358,0,1,0.0011086535,5342,4358,0.00024379604,-1.6493723e-05,Background,-0.17770899513419458,0.5705242396992112,0.7010908567228249,0.5705242396992112
COL24A1,631,1773,41.3498649597168,0.00017683068,-0.17781580194196703,0.57056618151833,0.7010908567228249,4359,1,2,0.0011181941,5209,4359,3.728643e-05,0.00021279091,Background,-0.17781580194196703,0.57056618151833,0.7010908567228249,0.57056618151833
CALHM2,720,326,41.8277587890625,0.00010722905,-0.1778356294810481,0.5705739674798599,0.7010908567228249,4360,0,1,0.0011917868,4497,4360,0.00047459453,-0.00032294804,Background,-0.1778356294810481,0.5705739674798599,0.7010908567228249,0.5705739674798599
QRFP,666,161,31.869060516357425,0.00014722411,-0.17786427843577796,0.570585217423536,0.7010908567228249,4361,0,1,0.0012440644,4203,4361,-0.0004375223,0.0006457281,Background,-0.17786427843577796,0.570585217423536,0.7010908567228249,0.570585217423536
TKTL2,552,652,41.72261047363281,0.00025086012,-0.17788806439716884,0.5705945577111887,0.7010908567228249,4362,0,1,0.0019319117,3202,4362,0.027373543,-0.027018778,Background,-0.17788806439716884,0.5705945577111887,0.7010908567228249,0.5705945577111887
CCDC102B,582,583,41.565162658691406,0.00022044312,-0.17789578059070116,0.5705975877028742,0.7010908567228249,4363,0,1,0.0011348553,4995,4363,0.0,0.00031175185,Background,-0.17789578059070116,0.5705975877028742,0.7010908567228249,0.5705975877028742
MBOAT2,676,556,42.73615646362305,0.00013872865,-0.1779102257530419,0.5706032600120672,0.7010908567228249,4364,0,1,0.0011058946,5401,4364,-4.068017e-05,0.00023687258,Background,-0.1779102257530419,0.5706032600120672,0.7010908567228249,0.5706032600120672
DENND5B,647,1300,43.28948974609375,0.00016193674,-0.17791244139084728,0.5706041300447999,0.7010908567228249,4365,0,1,0.0011216124,5169,4365,0.00027689897,-4.7885347e-05,Background,-0.17791244139084728,0.5706041300447999,0.7010908567228249,0.5706041300447999
CELA1,677,281,41.96754455566406,0.00013763318,-0.1779328728704423,0.5706121530258891,0.7010908567228249,4366,1,2,0.0010952844,5568,4366,0.00014461204,5.003251e-05,Background,-0.1779328728704423,0.5706121530258891,0.7010908567228249,0.5706121530258891
TMEM71,677,307,43.79643249511719,0.0001368369,-0.1779890808031757,0.570634224462484,0.7010908567228249,4367,0,1,0.0014590364,3685,4367,0.0016971063,-0.0015035896,Background,-0.1779890808031757,0.570634224462484,0.7010908567228249,0.570634224462484
EIF2A,684,593,41.83852005004883,0.00013100717,-0.1780214579109718,0.5706469380353498,0.7010908567228249,4368,0,1,0.001221898,4324,4368,-0.00038508512,0.00057035685,Background,-0.1780214579109718,0.5706469380353498,0.7010908567228249,0.5706469380353498
SLC22A2,692,581,41.783992767333984,0.0001245978,-0.1780477855312875,0.5706572760918673,0.7010908567228249,4369,1,2,0.0010880625,5686,4369,8.1427395e-05,9.4779534e-05,Background,-0.1780477855312875,0.5706572760918673,0.7010908567228249,0.5706572760918673
CD164,694,246,41.4139404296875,0.00012287038,-0.1780644287723392,0.5706638113619136,0.7010908567228249,4370,0,1,0.0011449588,4899,4370,0.00033906847,-0.00016530394,Background,-0.1780644287723392,0.5706638113619136,0.7010908567228249,0.5706638113619136
RFLNA,657,207,40.29184341430664,0.00015096727,-0.17810747022974727,0.570680712279931,0.7010908567228249,4371,0,1,0.0011182307,5207,4371,-5.4666772e-05,0.00026816688,Background,-0.17810747022974727,0.570680712279931,0.7010908567228249,0.570680712279931
PPIF,700,247,41.52699279785156,0.00011721958,-0.17815055461085547,0.5706976299228712,0.7010908567228249,4372,1,2,0.0010823709,5807,4372,0.00010652281,5.9250742e-05,Background,-0.17815055461085547,0.5706976299228712,0.7010908567228249,0.5706976299228712
PPP1R1A,716,182,38.863155364990234,0.00010563532,-0.17815230428027062,0.5706983169505937,0.7010908567228249,4373,0,1,0.0011165022,5233,4373,-0.00011433661,0.00026372937,Background,-0.17815230428027062,0.5706983169505937,0.7010908567228249,0.5706983169505937
NOA1,685,769,39.41565704345703,0.00012733176,-0.178227770688262,0.5707279494956304,0.7010908567228249,4374,0,1,0.0011520277,4849,4374,-0.00017849356,0.00035856734,Background,-0.178227770688262,0.5707279494956304,0.7010908567228249,0.5707279494956304
TICRR,640,2091,44.69736099243164,0.00016268785,-0.17826732026205713,0.570743478822476,0.7010908567228249,4375,0,1,0.0011444273,4902,4375,0.0003376156,-0.00010753516,Background,-0.17826732026205713,0.570743478822476,0.7010908567228249,0.570743478822476
PRORP,697,601,41.53300476074219,0.00011755776,-0.1782836905609758,0.5707499066655857,0.7010908567228249,4376,1,2,0.0010827958,5797,4376,0.0001020059,6.4243795e-05,Background,-0.1782836905609758,0.5707499066655857,0.7010908567228249,0.5707499066655857
CX3CR1,709,359,39.29616928100586,0.00010821645,-0.17832552699121498,0.5707663337702948,0.7010908567228249,4377,0,1,0.0012118001,4379,4377,-0.00038438663,0.0005374274,Background,-0.17832552699121498,0.5707663337702948,0.7010908567228249,0.5707663337702948
FBXO4,706,409,41.607460021972656,0.00011034768,-0.1783280915359083,0.5707673407366445,0.7010908567228249,4378,1,2,0.0010751068,5950,4378,2.190657e-05,0.00013415026,Background,-0.1783280915359083,0.5707673407366445,0.7010908567228249,0.5707673407366445
GCM2,672,559,42.60271072387695,0.0001358341,-0.17833375824399633,0.5707695657632486,0.7010908567228249,4379,0,1,0.001204034,4423,4379,-0.00032057147,0.0005126698,Background,-0.17833375824399633,0.5707695657632486,0.7010908567228249,0.5707695657632486
ATP6V1H,680,465,41.85053253173828,0.00012949412,-0.17834452205887322,0.5707737921569505,0.7010908567228249,4380,0,1,0.0012136409,4369,4380,0.0005433671,-0.00036023604,Background,-0.17834452205887322,0.5707737921569505,0.7010908567228249,0.5707737921569505
PDZD9,699,272,41.644901275634766,0.000115198025,-0.17834661926676426,0.5707746156211366,0.7010908567228249,4381,0,1,0.001284388,4039,4381,-0.0006318949,0.00079481053,Background,-0.17834661926676426,0.5707746156211366,0.7010908567228249,0.5707746156211366
TCEA3,694,369,41.867095947265625,0.000118327094,-0.17838697078512597,0.5707904594984091,0.7010908567228249,4382,1,2,0.0010814816,5827,4382,3.4973025e-05,0.00013236678,Background,-0.17838697078512597,0.5707904594984091,0.7010908567228249,0.5707904594984091
GABRA6,716,494,41.70017623901367,0.00010226303,-0.17839343017218207,0.5707929957427106,0.7010908567228249,4383,1,2,0.0010707837,6061,4383,3.182888e-05,0.00011279527,Background,-0.17839343017218207,0.5707929957427106,0.7010908567228249,0.5707929957427106
NDUFV3,689,116,42.25495529174805,0.00012154353,-0.17842384342460207,0.5708049373067887,0.7010908567228249,4384,0,1,0.0011047256,5420,4384,0.00023395196,-6.2065315e-05,Background,-0.17842384342460207,0.5708049373067887,0.7010908567228249,0.5708049373067887
PCBD1,721,104,31.831684112548828,9.8027114e-05,-0.17844413489170557,0.5708129045822133,0.7010908567228249,4385,0,1,0.0010984687,5514,4385,0.0002184473,-7.981341e-05,Background,-0.17844413489170557,0.5708129045822133,0.7010908567228249,0.5708129045822133
PSMC3IP,720,217,45.03416442871094,9.830539e-05,-0.17847450031191622,0.5708248272574689,0.7010908567228249,4386,0,1,0.0011404189,4934,4386,-0.00018768758,0.0003267146,Background,-0.17847450031191622,0.5708248272574689,0.7010908567228249,0.5708248272574689
FDXACB1,716,648,41.85206604003906,0.000100921316,-0.17848936557066203,0.5708306639274721,0.7010908567228249,4387,1,2,0.0010678379,6125,4387,0.00013282523,9.902302e-06,Background,-0.17848936557066203,0.5708306639274721,0.7010908567228249,0.5708306639274721
SLC26A3,702,840,43.17036056518555,0.000110901135,-0.17849591267501322,0.5708332345665175,0.7010908567228249,4388,0,1,0.0010891198,5666,4388,0.00019567832,-3.883883e-05,Background,-0.17849591267501322,0.5708332345665175,0.7010908567228249,0.5708332345665175
CCZ1B,661,496,41.30891036987305,0.00014193938,-0.17851525094647092,0.5708408274806006,0.7010908567228249,4389,1,2,0.0010987616,5506,4389,5.835574e-05,0.000142375,Background,-0.17851525094647092,0.5708408274806006,0.7010908567228249,0.5708408274806006
LGALS8,674,376,41.492332458496094,0.00013146596,-0.1785319708710955,0.5708473923146313,0.7010908567228249,4390,0,1,0.0011284435,5076,4390,0.00029474497,-0.00010882132,Background,-0.1785319708710955,0.5708473923146313,0.7010908567228249,0.5708473923146313
HADHB,690,502,41.5876579284668,0.000119264354,-0.17853223095347046,0.5708474944320198,0.7010908567228249,4391,0,1,0.0010789664,5870,4391,-2.8088689e-06,0.00017147348,Background,-0.17853223095347046,0.5708474944320198,0.7010908567228249,0.5708474944320198
PVALB,722,110,41.22157669067383,9.602739e-05,-0.17853717616721324,0.570849436094073,0.7010908567228249,4392,0,1,0.0011816067,4570,4392,0.00044381246,-0.00030801026,Background,-0.17853717616721324,0.570849436094073,0.7010908567228249,0.570849436094073
AURKB,709,348,41.37010192871094,0.00010519523,-0.17854106672852132,0.5708509636618775,0.7010908567228249,4393,1,2,0.0010732773,5996,4393,0.0001088772,3.989204e-05,Background,-0.17854106672852132,0.5708509636618775,0.7010908567228249,0.5708509636618775
COX7B,663,81,32.64773941040039,0.00013996568,-0.17854189611947457,0.5708512893090741,0.7010908567228249,4394,1,2,0.0010943118,5581,4394,2.7416274e-05,0.00017052516,Background,-0.17854189611947457,0.5708512893090741,0.7010908567228249,0.5708512893090741
SERPINB3,417,411,39.70254898071289,0.00041478314,-0.17856254564822732,0.5708593970033179,0.7010908567228249,4395,0,1,0.0012267823,4296,4395,0.0005865935,0.0,Background,-0.17856254564822732,0.5708593970033179,0.7010908567228249,0.5708593970033179
CD3E,635,228,38.9704475402832,0.0001626634,-0.17856279918107856,0.5708594965485921,0.7010908567228249,4396,0,1,0.0011188665,5198,4396,-3.976235e-05,0.00026980322,Background,-0.17856279918107856,0.5708594965485921,0.7010908567228249,0.5708594965485921
OXA1L,715,460,42.27275848388672,0.00010059704,-0.1785632656395245,0.5708596796953943,0.7010908567228249,4397,1,2,0.0010702106,6074,4397,0.00010255724,3.970787e-05,Background,-0.1785632656395245,0.5708596796953943,0.7010908567228249,0.5708596796953943
